n_reservoir,spectral_radius,sparsity,noise,leaking_rate,input_scaling,mse
300,0.9550083944435662,0.18307390924768935,0.002453952858997472,0.1134701251507468,0.7744232318760914,0.5469442955133907
600,0.9461190262433204,0.1009848783525968,2.853666387969698e-05,0.43664566280000894,2.4106410467660906,0.5171166220769902
200,0.8501964368223182,0.15226011207311116,0.0004344272820877909,0.42844854921486997,2.88975785748681,0.13688179543337867
400,0.8433227072186916,0.1483897844748524,0.00526205908714057,0.1954370011365434,1.247449707930239,0.7011238596203617
600,0.9229061733879788,0.11098753784599182,1.6935383636819425e-05,0.6271576598829929,1.362455442875182,1.1879068081165427
300,0.9490066091211213,0.17302358504887694,2.331120551973361e-05,0.17212996124292906,2.9697869862797615,0.19056209808801275
500,0.847117874527358,0.12043965859047648,0.0008434945377724173,0.7162336204814523,0.7489789127872497,1.2193516168570984
600,0.92050571474354,0.0631160405276547,1.0632647494289025e-05,0.28399410315343765,1.2492772984834999,1.302881751582604
800,0.8517372568658822,0.08562904237640906,0.0007206741765062207,0.7053777601110686,2.560689201923913,0.8211881528338946
400,0.9091563616567994,0.1529478632215265,0.0043415043885854125,0.4646029150390941,0.8988169701270833,0.5214426566614162
600,0.9862412422748846,0.06712580974560817,8.889090702947087e-05,0.4690408819245947,0.6726420567969236,1.4686035261499297
200,0.9375815389528197,0.05998554893751087,2.792914764955731e-05,0.5853049267503619,1.6187902640180145,0.1331689684175632
400,0.84256998103889,0.05013839113145458,0.0007100182804793368,0.6142034895242683,1.1990179897584197,0.399339487559669
500,0.9846060227366547,0.09782415240358613,8.434994211289066e-05,0.8451166602648933,1.263488460639049,0.6230684918244216
500,0.8158002956155576,0.10380764943912923,0.005322993816908165,0.2446815755571894,1.9223792951429588,0.6030416188256091
